param be :=
CHP 1W 86 -0.11241747
CHP 1W 87 -0.11241747
CHP 1W 88 -0.11241747
CHP 1W 89 -0.11241747
CHP 1W 90 -0.11241747
CHP 1W 91 -0.11241747
CHP 1W 92 -0.11241747
CHP 1W 93 -0.11241747
CHP 1W 94 -0.09583407000000001
CHP 1W 95 -0.09583407000000001
CHP 1W 96 -0.09583407000000001
CHP 1W 97 -0.09583407000000001
CHP 1W 98 -0.09583407000000001
CHP 1W 99 -0.09583407000000001
CHP 1W 100 -0.09583407000000001
CHP 1W 101 -0.09583407000000001
CHP 1W 102 -0.09583407000000001
CHP 1W 103 -0.09583407000000001
CHP 1W 104 -0.09583407000000001
CHP 1W 105 -0.11241747
CHP 1W 106 -0.11241747
CHP 1W 107 -0.11241747
CHP 1W 108 -0.11241747
CHP 1W 109 -0.11241747
CHP 1W 110 -0.11241747
CHP 1W 111 -0.11241747
CHP 1W 112 -0.11241747
CHP 1W 113 -0.11241747
CHP 1W 114 -0.11241747
CHP 1W 115 -0.11241747
CHP 1W 116 -0.11241747
CHP 1W 117 -0.11241747
CHP 1W 118 -0.09583407000000001
CHP 1W 119 -0.09583407000000001
CHP 1W 120 -0.09583407000000001
CHP 1W 121 -0.09583407000000001
CHP 1W 122 -0.09583407000000001
CHP 1W 123 -0.09583407000000001
CHP 1W 124 -0.09583407000000001
CHP 1W 125 -0.09583407000000001
CHP 1W 126 -0.09583407000000001
CHP 1W 127 -0.09583407000000001
CHP 1W 128 -0.09583407000000001
CHP 1W 129 -0.09583407000000001
CHP 1W 130 -0.09583407000000001
CHP 1W 131 -0.09583407000000001
CHP 1W 132 -0.09583407000000001
CHP 1W 133 -0.09583407000000001
CHP 1W 134 -0.09583407000000001
CHP 1W 135 -0.09583407000000001
CHP 1W 136 -0.09583407000000001
CHP 1W 137 -0.09583407000000001
CHP 1W 138 -0.09583407000000001
CHP 1W 139 -0.09583407000000001
CHP 1W 140 -0.09583407000000001
CHP 1W 141 -0.09583407000000001
CHP 1W 142 -0.09583407000000001
CHP 1W 143 -0.09583407000000001
CHP 1W 144 -0.09583407000000001
CHP 1W 145 -0.09583407000000001
CHP 1W 146 -0.09583407000000001
CHP 1W 147 -0.09583407000000001
CHP 1W 148 -0.09583407000000001
CHP 1W 149 -0.09583407000000001
CHP 1W 150 -0.09583407000000001
CHP 1W 151 -0.09583407000000001
CHP 1W 152 -0.09583407000000001
CHP 1W 153 -0.09583407000000001
CHP 1W 154 -0.09583407000000001
CHP 1W 155 -0.09583407000000001
CHP 1W 156 -0.09583407000000001
CHP 1W 157 -0.09583407000000001
CHP 1W 158 -0.09583407000000001
CHP 1W 159 -0.09583407000000001
CHP 1W 160 -0.09583407000000001
CHP 1W 161 -0.09583407000000001
CHP 1W 162 -0.09583407000000001
CHP 1W 163 -0.09583407000000001
CHP 1W 164 -0.09583407000000001
CHP 1W 165 -0.09583407000000001
CHP 1W 166 -0.09583407000000001
CHP 1W 167 -0.09583407000000001
CHP 1W 168 -0.09583407000000001
CHP 1W 169 -0.09583407000000001
CHP 1W 170 -0.09583407000000001
CHP 1W 171 -0.09583407000000001
CHP 1W 172 -0.09583407000000001
CHP 1W 173 -0.09583407000000001
CHP 1W 174 -0.09583407000000001
CHP 1W 175 -0.09583407000000001
CHP 1W 176 -0.09583407000000001
CHP 1W 177 -0.11241747
CHP 1W 178 -0.11241747
CHP 1W 179 -0.11241747
CHP 1W 180 -0.11241747
CHP 1W 181 -0.11241747
CHP 1W 182 -0.11241747
CHP 1W 183 -0.11241747
CHP 1W 184 -0.11241747
CHP 1W 185 -0.11241747
CHP 1W 186 -0.11241747
CHP 1W 187 -0.11241747
CHP 1W 188 -0.11241747
CHP 1W 189 -0.11241747
CHP 1W 190 -0.09583407000000001
CHP 1W 191 -0.09583407000000001
CHP 1W 192 -0.09583407000000001
CHP 1W 193 -0.09583407000000001
CHP 1W 194 -0.09583407000000001
CHP 1W 195 -0.09583407000000001
CHP 1W 196 -0.09583407000000001
CHP 1W 197 -0.09583407000000001
CHP 1W 198 -0.09583407000000001
CHP 1W 199 -0.09583407000000001
CHP 1W 200 -0.09583407000000001
CHP 1W 201 -0.11241747
CHP 1W 202 -0.11241747
CHP 1W 203 -0.11241747
CHP 1W 204 -0.11241747
CHP 1W 205 -0.11241747
CHP 1W 206 -0.11241747
CHP 1W 207 -0.11241747
CHP 1W 208 -0.11241747
CHP 1W 209 -0.11241747
CHP 1W 210 -0.11241747
CHP 1W 211 -0.11241747
CHP 1W 212 -0.11241747
CHP 1W 213 -0.11241747
CHP 1W 214 -0.09583407000000001
CHP 1W 215 -0.09583407000000001
CHP 1W 216 -0.09583407000000001
CHP 1W 217 -0.09583407000000001
CHP 1W 218 -0.09583407000000001
CHP 1W 219 -0.09583407000000001
CHP 1W 220 -0.09583407000000001
CHP 1W 221 -0.09583407000000001
CHP 1W 222 -0.09583407000000001
CHP 1W 223 -0.09583407000000001
CHP 1W 224 -0.09583407000000001
CHP 1W 225 -0.11241747
CHP 1W 226 -0.11241747
CHP 1W 227 -0.11241747
CHP 1W 228 -0.11241747
CHP 1W 229 -0.11241747
CHP 1W 230 -0.11241747
CHP 1W 231 -0.11241747
CHP 1W 232 -0.11241747
CHP 1W 233 -0.11241747
CHP 1W 234 -0.11241747
CHP 1W 235 -0.11241747
CHP 1W 236 -0.11241747
CHP 1W 237 -0.11241747
CHP 1W 238 -0.09583407000000001
CHP 1W 239 -0.09583407000000001
CHP 1W 240 -0.09583407000000001
CHP 1W 241 -0.09583407000000001
CHP 1W 242 -0.09583407000000001
CHP 1W 243 -0.09583407000000001
CHP 1W 244 -0.09583407000000001
CHP 1W 245 -0.09583407000000001
CHP 1W 246 -0.09583407000000001
CHP 1W 247 -0.09583407000000001
CHP 1W 248 -0.09583407000000001
CHP 1W 249 -0.11241747
CHP 1W 250 -0.11241747
CHP 1W 251 -0.11241747
CHP 1W 252 -0.11241747
CHP 1W 253 -0.11241747
CHP 1W 254 -0.11241747
CHP 1W 255 -0.11241747
CHP 1W 256 -0.11241747
CHP 1W 257 -0.11241747
CHP 1W 258 -0.11241747
CHP 1W 259 -0.11241747
CHP 1W 260 -0.11241747
CHP 1W 261 -0.11241747
CHP 1W 262 -0.09583407000000001
CHP 1W 263 -0.09583407000000001
CHP 1W 264 -0.09583407000000001
CHP 1W 265 -0.09583407000000001
CHP 1W 266 -0.09583407000000001
CHP 1W 267 -0.09583407000000001
CHP 1W 268 -0.09583407000000001
CHP 1W 269 -0.09583407000000001
CHP 1W 270 -0.09583407000000001
CHP 1W 271 -0.09583407000000001
CHP 1W 272 -0.09583407000000001
CHP 1W 273 -0.11241747
CHP 1W 274 -0.11241747
CHP 1W 275 -0.11241747
CHP 1W 276 -0.11241747
CHP 1W 277 -0.11241747
CHP 1W 278 -0.11241747
CHP 1W 279 -0.11241747
CHP 1W 280 -0.11241747
CHP 1W 281 -0.11241747
CHP 1W 282 -0.11241747
CHP 1W 283 -0.11241747
CHP 1W 284 -0.11241747
CHP 1W 285 -0.11241747
CHP 1W 286 -0.09583407000000001
CHP 1W 287 -0.09583407000000001
CHP 1W 288 -0.09583407000000001
CHP 1W 289 -0.09583407000000001
CHP 1W 290 -0.09583407000000001
CHP 1W 291 -0.09583407000000001
CHP 1W 292 -0.09583407000000001
CHP 1W 293 -0.09583407000000001
CHP 1W 294 -0.09583407000000001
CHP 1W 295 -0.09583407000000001
CHP 1W 296 -0.09583407000000001
CHP 1W 297 -0.09583407000000001
CHP 1W 298 -0.09583407000000001
CHP 1W 299 -0.09583407000000001
CHP 1W 300 -0.09583407000000001
CHP 1W 301 -0.09583407000000001
CHP 1W 302 -0.09583407000000001
CHP 1W 303 -0.09583407000000001
CHP 1W 304 -0.09583407000000001
CHP 1W 305 -0.09583407000000001
CHP 1W 306 -0.09583407000000001
CHP 1W 307 -0.09583407000000001
CHP 1W 308 -0.09583407000000001
CHP 1W 309 -0.09583407000000001
CHP 1W 310 -0.09583407000000001
CHP 1W 311 -0.09583407000000001
CHP 1W 312 -0.09583407000000001
CHP 1W 313 -0.09583407000000001
CHP 1W 314 -0.09583407000000001
CHP 1W 315 -0.09583407000000001
CHP 1W 316 -0.09583407000000001
CHP 1W 317 -0.09583407000000001
CHP 1W 318 -0.09583407000000001
CHP 1W 319 -0.09583407000000001
CHP 1W 320 -0.09583407000000001
CHP 1W 321 -0.09583407000000001
CHP 1W 322 -0.09583407000000001
CHP 1W 323 -0.09583407000000001
CHP 1W 324 -0.09583407000000001
CHP 1W 325 -0.09583407000000001
CHP 1W 326 -0.09583407000000001
CHP 1W 327 -0.09583407000000001
CHP 1W 328 -0.09583407000000001
CHP 1W 329 -0.09583407000000001
CHP 1W 330 -0.09583407000000001
CHP 1W 331 -0.09583407000000001
CHP 1W 332 -0.09583407000000001
CHP 1W 333 -0.09583407000000001
CHP 1W 334 -0.09583407000000001
CHP 1W 335 -0.09583407000000001
CHP 1W 336 -0.09583407000000001
CHP 1W 337 -0.09583407000000001
CHP 1W 338 -0.09583407000000001
CHP 1W 339 -0.09583407000000001
CHP 1W 340 -0.09583407000000001
CHP 1W 341 -0.09583407000000001
CHP 1W 342 -0.09583407000000001
CHP 1W 343 -0.09583407000000001
CHP 1W 344 -0.09583407000000001
CHP 1W 345 -0.11241747
CHP 1W 346 -0.11241747
CHP 1W 347 -0.11241747
CHP 1W 348 -0.11241747
CHP 1W 349 -0.11241747
CHP 1W 350 -0.11241747
CHP 1W 351 -0.11241747
CHP 1W 352 -0.11241747
CHP 1W 353 -0.11241747
CHP 1W 354 -0.11241747
CHP 1W 355 -0.11241747
CHP 1W 356 -0.11241747
CHP 1W 357 -0.11241747
CHP 1W 358 -0.09583407000000001
CHP 1W 359 -0.09583407000000001
CHP 1W 360 -0.09583407000000001
CHP 1W 361 -0.09583407000000001
CHP 1W 362 -0.09583407000000001
CHP 1W 363 -0.09583407000000001
CHP 1W 364 -0.09583407000000001
CHP 1W 365 -0.09583407000000001
CHP 1W 366 -0.09583407000000001
CHP 1W 367 -0.09583407000000001
CHP 1W 368 -0.09583407000000001
CHP 1W 369 -0.11241747
CHP 1W 370 -0.11241747
CHP 1W 371 -0.11241747
CHP 1W 372 -0.11241747
CHP 1W 373 -0.11241747
CHP 1W 374 -0.11241747
CHP 1W 375 -0.11241747
CHP 1W 376 -0.11241747
CHP 1W 377 -0.11241747
CHP 1W 378 -0.11241747
CHP 1W 379 -0.11241747
CHP 1W 380 -0.11241747
CHP 1W 381 -0.11241747
CHP 1W 382 -0.09583407000000001
CHP 1W 383 -0.09583407000000001
CHP 1W 384 -0.09583407000000001
CHP 1W 385 -0.09583407000000001
CHP 1W 386 -0.09583407000000001
CHP 1W 387 -0.09583407000000001
CHP 1W 388 -0.09583407000000001
CHP 1W 389 -0.09583407000000001
CHP 1W 390 -0.09583407000000001
CHP 1W 391 -0.09583407000000001
CHP 1W 392 -0.09583407000000001
CHP 1W 393 -0.11241747
CHP 1W 394 -0.11241747
CHP 1W 395 -0.11241747
CHP 1W 396 -0.11241747
CHP 1W 397 -0.11241747
CHP 1W 398 -0.11241747
CHP 1W 399 -0.11241747
CHP 1W 400 -0.11241747
CHP 1W 401 -0.11241747
CHP 1W 402 -0.11241747
CHP 1W 403 -0.11241747
CHP 1W 404 -0.11241747
CHP 1W 405 -0.11241747
CHP 1W 406 -0.09583407000000001
CHP 1W 407 -0.09583407000000001
CHP 1W 408 -0.09583407000000001
CHP 1W 409 -0.09583407000000001
CHP 1W 410 -0.09583407000000001
CHP 1W 411 -0.09583407000000001
CHP 1W 412 -0.09583407000000001
CHP 1W 413 -0.09583407000000001
CHP 1W 414 -0.09583407000000001
CHP 1W 415 -0.09583407000000001
CHP 1W 416 -0.09583407000000001
CHP 1W 417 -0.11241747
CHP 1W 418 -0.11241747
CHP 1W 419 -0.11241747
CHP 1W 420 -0.11241747
CHP 1W 421 -0.11241747
CHP 1W 422 -0.11241747
CHP 1W 423 -0.11241747
CHP 1W 424 -0.11241747
CHP 1W 425 -0.11241747
CHP 1W 426 -0.11241747
CHP 1W 427 -0.11241747
CHP 1W 428 -0.11241747
CHP 1W 429 -0.11241747
CHP 1W 430 -0.09583407000000001
CHP 1W 431 -0.09583407000000001
CHP 1W 432 -0.09583407000000001
CHP 1W 433 -0.09583407000000001
CHP 1W 434 -0.09583407000000001
CHP 1W 435 -0.09583407000000001
CHP 1W 436 -0.09583407000000001
CHP 1W 437 -0.09583407000000001
CHP 1W 438 -0.09583407000000001
CHP 1W 439 -0.09583407000000001
CHP 1W 440 -0.09583407000000001
CHP 1W 441 -0.11241747
CHP 1W 442 -0.11241747
CHP 1W 443 -0.11241747
CHP 1W 444 -0.11241747
CHP 1W 445 -0.11241747
CHP 1W 446 -0.11241747
CHP 1W 447 -0.11241747
CHP 1W 448 -0.11241747
CHP 1W 449 -0.11241747
CHP 1W 450 -0.11241747
CHP 1W 451 -0.11241747
CHP 1W 452 -0.11241747
CHP 1W 453 -0.11241747
CHP 1W 454 -0.09583407000000001
CHP 1W 455 -0.09583407000000001
CHP 1W 456 -0.09583407000000001
CHP 1W 457 -0.09583407000000001
CHP 1W 458 -0.09583407000000001
CHP 1W 459 -0.09583407000000001
CHP 1W 460 -0.09583407000000001
CHP 1W 461 -0.09583407000000001
CHP 1W 462 -0.09583407000000001
CHP 1W 463 -0.09583407000000001
CHP 1W 464 -0.09583407000000001
CHP 1W 465 -0.09583407000000001
CHP 1W 466 -0.09583407000000001
CHP 1W 467 -0.09583407000000001
CHP 1W 468 -0.09583407000000001
CHP 1W 469 -0.09583407000000001
CHP 1W 470 -0.09583407000000001
CHP 1W 471 -0.09583407000000001
CHP 1W 472 -0.09583407000000001
CHP 1W 473 -0.09583407000000001
CHP 1W 474 -0.09583407000000001
CHP 1W 475 -0.09583407000000001
CHP 1W 476 -0.09583407000000001
CHP 1W 477 -0.09583407000000001
CHP 1W 478 -0.09583407000000001
CHP 1W 479 -0.09583407000000001
CHP 1W 480 -0.09583407000000001
CHP 1W 481 -0.09583407000000001
CHP 1W 482 -0.09583407000000001
CHP 1W 483 -0.09583407000000001
CHP 1W 484 -0.09583407000000001
CHP 1W 485 -0.09583407000000001
CHP 1W 486 -0.09583407000000001
CHP 1W 487 -0.09583407000000001
CHP 1W 488 -0.09583407000000001
CHP 1W 489 -0.09583407000000001
CHP 1W 490 -0.09583407000000001
CHP 1W 491 -0.09583407000000001
CHP 1W 492 -0.09583407000000001
CHP 1W 493 -0.09583407000000001
CHP 1W 494 -0.09583407000000001
CHP 1W 495 -0.09583407000000001
CHP 1W 496 -0.09583407000000001
CHP 1W 497 -0.09583407000000001
CHP 1W 498 -0.09583407000000001
CHP 1W 499 -0.09583407000000001
CHP 1W 500 -0.09583407000000001
CHP 1W 501 -0.09583407000000001
CHP 1W 502 -0.09583407000000001
CHP 1W 503 -0.09583407000000001
CHP 1W 504 -0.09583407000000001
CHP 1W 505 -0.09583407000000001
CHP 1W 506 -0.09583407000000001
CHP 1W 507 -0.09583407000000001
CHP 1W 508 -0.09583407000000001
CHP 1W 509 -0.09583407000000001
CHP 1W 510 -0.09583407000000001
CHP 1W 511 -0.09583407000000001
CHP 1W 512 -0.09583407000000001
CHP 1W 513 -0.11241747
CHP 1W 514 -0.11241747
CHP 1W 515 -0.11241747
CHP 1W 516 -0.11241747
CHP 1W 517 -0.11241747
CHP 1W 518 -0.11241747
CHP 1W 519 -0.11241747
CHP 1W 520 -0.11241747
CHP 1W 521 -0.11241747
CHP 1W 522 -0.11241747
CHP 1W 523 -0.11241747
CHP 1W 524 -0.11241747
CHP 1W 525 -0.11241747
CHP 1W 526 -0.09583407000000001
CHP 1W 527 -0.09583407000000001
CHP 1W 528 -0.09583407000000001
CHP 1W 529 -0.09583407000000001
CHP 1W 530 -0.09583407000000001
CHP 1W 531 -0.09583407000000001
CHP 1W 532 -0.09583407000000001
CHP 1W 533 -0.09583407000000001
CHP 1W 534 -0.09583407000000001
CHP 1W 535 -0.09583407000000001
CHP 1W 536 -0.09583407000000001
CHP 1W 537 -0.11241747
CHP 1W 538 -0.11241747
CHP 1W 539 -0.11241747
CHP 1W 540 -0.11241747
CHP 1W 541 -0.11241747
CHP 1W 542 -0.11241747
CHP 1W 543 -0.11241747
CHP 1W 544 -0.11241747
CHP 1W 545 -0.11241747
CHP 1W 546 -0.11241747
CHP 1W 547 -0.11241747
CHP 1W 548 -0.11241747
CHP 1W 549 -0.11241747
CHP 1W 550 -0.09583407000000001
CHP 1W 551 -0.09583407000000001
CHP 1W 552 -0.09583407000000001
CHP 1W 553 -0.09583407000000001
CHP 1W 554 -0.09583407000000001
CHP 1W 555 -0.09583407000000001
CHP 1W 556 -0.09583407000000001
CHP 1W 557 -0.09583407000000001
CHP 1W 558 -0.09583407000000001
CHP 1W 559 -0.09583407000000001
CHP 1W 560 -0.09583407000000001
CHP 1W 561 -0.11241747
CHP 1W 562 -0.11241747
CHP 1W 563 -0.11241747
CHP 1W 564 -0.11241747
CHP 1W 565 -0.11241747
CHP 1W 566 -0.11241747
CHP 1W 567 -0.11241747
CHP 1W 568 -0.11241747
CHP 1W 569 -0.11241747
CHP 1W 570 -0.11241747
CHP 1W 571 -0.11241747
CHP 1W 572 -0.11241747
CHP 1W 573 -0.11241747
CHP 1W 574 -0.09583407000000001
CHP 1W 575 -0.09583407000000001
CHP 1W 576 -0.09583407000000001
CHP 1W 577 -0.09583407000000001
CHP 1W 578 -0.09583407000000001
CHP 1W 579 -0.09583407000000001
CHP 1W 580 -0.09583407000000001
CHP 1W 581 -0.09583407000000001
CHP 1W 582 -0.09583407000000001
CHP 1W 583 -0.09583407000000001
CHP 1W 584 -0.09583407000000001
CHP 1W 585 -0.11241747
CHP 1W 586 -0.11241747
CHP 1W 587 -0.11241747
CHP 1W 588 -0.11241747
CHP 1W 589 -0.11241747
CHP 1W 590 -0.11241747
CHP 1W 591 -0.11241747
CHP 1W 592 -0.11241747
CHP 1W 593 -0.11241747
CHP 1W 594 -0.11241747
CHP 1W 595 -0.11241747
CHP 1W 596 -0.11241747
CHP 1W 597 -0.11241747
CHP 1W 598 -0.09583407000000001
CHP 1W 599 -0.09583407000000001
CHP 1W 600 -0.09583407000000001
CHP 1W 601 -0.09583407000000001
CHP 1W 602 -0.09583407000000001
CHP 1W 603 -0.09583407000000001
CHP 1W 604 -0.09583407000000001
CHP 1W 605 -0.09583407000000001
CHP 1W 606 -0.09583407000000001
CHP 1W 607 -0.09583407000000001
CHP 1W 608 -0.09583407000000001
CHP 1W 609 -0.11241747
CHP 1W 610 -0.11241747
CHP 1W 611 -0.11241747
CHP 1W 612 -0.11241747
CHP 1W 613 -0.11241747
CHP 1W 614 -0.11241747
CHP 1W 615 -0.11241747
CHP 1W 616 -0.11241747
CHP 1W 617 -0.11241747
CHP 1W 618 -0.11241747
CHP 1W 619 -0.11241747
CHP 1W 620 -0.11241747
CHP 1W 621 -0.11241747
CHP 1W 622 -0.09583407000000001
CHP 1W 623 -0.09583407000000001
CHP 1W 624 -0.09583407000000001
CHP 1W 625 -0.09583407000000001
CHP 1W 626 -0.09583407000000001
CHP 1W 627 -0.09583407000000001
CHP 1W 628 -0.09583407000000001
CHP 1W 629 -0.09583407000000001
CHP 1W 630 -0.09583407000000001
CHP 1W 631 -0.09583407000000001
CHP 1W 632 -0.09583407000000001
CHP 1W 633 -0.09583407000000001
CHP 1W 634 -0.09583407000000001
CHP 1W 635 -0.09583407000000001
CHP 1W 636 -0.09583407000000001
CHP 1W 637 -0.09583407000000001
CHP 1W 638 -0.09583407000000001
CHP 1W 639 -0.09583407000000001
CHP 1W 640 -0.09583407000000001
CHP 1W 641 -0.09583407000000001
CHP 1W 642 -0.09583407000000001
CHP 1W 643 -0.09583407000000001
CHP 1W 644 -0.09583407000000001
CHP 1W 645 -0.09583407000000001
CHP 1W 646 -0.09583407000000001
CHP 1W 647 -0.09583407000000001
CHP 1W 648 -0.09583407000000001
CHP 1W 649 -0.09583407000000001
CHP 1W 650 -0.09583407000000001
CHP 1W 651 -0.09583407000000001
CHP 1W 652 -0.09583407000000001
CHP 1W 653 -0.09583407000000001
CHP 1W 654 -0.09583407000000001
CHP 1W 655 -0.09583407000000001
CHP 1W 656 -0.09583407000000001
CHP 1W 657 -0.09583407000000001
CHP 1W 658 -0.09583407000000001
CHP 1W 659 -0.09583407000000001
CHP 1W 660 -0.09583407000000001
CHP 1W 661 -0.09583407000000001
CHP 1W 662 -0.09583407000000001
CHP 1W 663 -0.09583407000000001
CHP 1W 664 -0.09583407000000001
CHP 1W 665 -0.09583407000000001
CHP 1W 666 -0.09583407000000001
CHP 1W 667 -0.09583407000000001
CHP 1W 668 -0.09583407000000001
CHP 1W 669 -0.09583407000000001
CHP 1W 670 -0.09583407000000001
CHP 1W 671 -0.09583407000000001
CHP 1W 672 -0.09583407000000001
CHP 1W 673 -0.09583407000000001
CHP 1W 674 -0.09583407000000001
CHP 1W 675 -0.09583407000000001
CHP 1W 676 -0.09583407000000001
CHP 1W 677 -0.09583407000000001
CHP 1W 678 -0.09583407000000001
CHP 1W 679 -0.09583407000000001
CHP 1W 680 -0.09583407000000001
CHP 1W 681 -0.11241747
CHP 1W 682 -0.11241747
CHP 1W 683 -0.11241747
CHP 1W 684 -0.11241747
CHP 1W 685 -0.11241747
CHP 1W 686 -0.11241747
CHP 1W 687 -0.11241747
CHP 1W 688 -0.11241747
CHP 1W 689 -0.11241747
CHP 1W 690 -0.11241747
CHP 1W 691 -0.11241747
CHP 1W 692 -0.11241747
CHP 1W 693 -0.11241747
CHP 1W 694 -0.09583407000000001
CHP 1W 695 -0.09583407000000001
CHP 1W 696 -0.09583407000000001
CHP 1W 697 -0.09583407000000001
CHP 1W 698 -0.09583407000000001
CHP 1W 699 -0.09583407000000001
CHP 1W 700 -0.09583407000000001
CHP 1W 701 -0.09583407000000001
CHP 1W 702 -0.09583407000000001
CHP 1W 703 -0.09583407000000001
CHP 1W 704 -0.09583407000000001
CHP 1W 705 -0.11241747
CHP 1W 706 -0.11241747
CHP 1W 707 -0.11241747
CHP 1W 708 -0.11241747
CHP 1W 709 -0.11241747
CHP 1W 710 -0.11241747
CHP 1W 711 -0.11241747
CHP 1W 712 -0.11241747
CHP 1W 713 -0.11241747
CHP 1W 714 -0.11241747
CHP 1W 715 -0.11241747
CHP 1W 716 -0.11241747
CHP 1W 717 -0.11241747
CHP 1W 718 -0.09583407000000001
CHP 1W 719 -0.09583407000000001
CHP 1W 720 -0.09583407000000001
CHP 1W 721 -0.09583407000000001
CHP 1W 722 -0.09583407000000001
CHP 1W 723 -0.09583407000000001
CHP 1W 724 -0.09583407000000001
CHP 1W 725 -0.09583407000000001
CHP 1W 726 -0.09583407000000001
CHP 1W 727 -0.09583407000000001
CHP 1W 728 -0.09583407000000001
CHP 1W 729 -0.11241747
CHP 1W 730 -0.11241747
CHP 1W 731 -0.11241747
CHP 1W 732 -0.11241747
CHP 1W 733 -0.11241747
CHP 1W 734 -0.11241747
CHP 1W 735 -0.11241747
CHP 1W 736 -0.11241747
CHP 1W 737 -0.11241747
CHP 1W 738 -0.11241747
CHP 1W 739 -0.11241747
CHP 1W 740 -0.11241747
CHP 1W 741 -0.11241747
CHP 1W 742 -0.09583407000000001
CHP 1W 743 -0.09583407000000001
CHP 1W 744 -0.09583407000000001
CHP 1W 745 -0.09583407000000001
CHP 1W 746 -0.09583407000000001
CHP 1W 747 -0.09583407000000001
CHP 1W 748 -0.09583407000000001
CHP 1W 749 -0.09583407000000001
CHP 1W 750 -0.09583407000000001
CHP 1W 751 -0.09583407000000001
CHP 1W 752 -0.09583407000000001
CHP 1W 753 -0.11241747
CHP 1W 754 -0.11241747
CHP 1W 755 -0.11241747
CHP 1W 756 -0.11241747
CHP 1W 757 -0.11241747
CHP 1W 758 -0.11241747
CHP 1W 759 -0.11241747
CHP 1W 760 -0.11241747
CHP 1W 761 -0.11241747
CHP 1W 762 -0.11241747
CHP 1W 763 -0.11241747
CHP 1W 764 -0.11241747
CHP 1W 765 -0.11241747
CHP 1W 766 -0.09583407000000001
CHP 1W 767 -0.09583407000000001
CHP 1W 768 -0.09583407000000001
CHP 1W 769 -0.09583407000000001
CHP 1W 770 -0.09583407000000001
CHP 1W 771 -0.09583407000000001
CHP 1W 772 -0.09583407000000001
CHP 1W 773 -0.09583407000000001
CHP 1W 774 -0.09583407000000001
CHP 1W 775 -0.09583407000000001
CHP 1W 776 -0.09583407000000001
CHP 1W 777 -0.11241747
CHP 1W 778 -0.11241747
CHP 1W 779 -0.11241747
CHP 1W 780 -0.11241747
CHP 1W 781 -0.11241747
CHP 1W 782 -0.11241747
CHP 1W 783 -0.11241747
CHP 1W 784 -0.11241747
CHP 1W 785 -0.11241747
CHP 1W 786 -0.11241747
CHP 1W 787 -0.11241747
