param cU :=
CHP 1 641 11.0
CHP 1 642 11.0
CHP 1 643 11.0
CHP 1 644 11.0
CHP 1 645 11.0
CHP 1 646 11.0
CHP 1 647 11.0
CHP 1 648 11.0
CHP 1 649 11.0
CHP 1 650 11.0
CHP 1 651 11.0
CHP 1 652 11.0
CHP 1 653 11.0
CHP 1 654 11.0
CHP 1 655 11.0
CHP 1 656 11.0
CHP 1 657 11.0
CHP 1 658 11.0
CHP 1 659 11.0
CHP 1 660 11.0
CHP 1 661 11.0
CHP 1 662 11.0
CHP 1 663 11.0
CHP 1 664 11.0
CHP 1 665 11.0
CHP 1 666 11.0
CHP 1 667 11.0
CHP 1 668 11.0
CHP 1 669 11.0
CHP 1 670 11.0
CHP 1 671 11.0
CHP 1 672 11.0
CHP 1 673 11.0
CHP 1 674 11.0
CHP 1 675 11.0
CHP 1 676 11.0
CHP 1 677 11.0
CHP 1 678 11.0
CHP 1 679 11.0
CHP 1 680 11.0
CHP 1 681 11.0
CHP 1 682 11.0
CHP 1 683 11.0
CHP 1 684 11.0
CHP 1 685 11.0
CHP 1 686 11.0
CHP 1 687 11.0
CHP 1 688 11.0
CHP 1 689 11.0
CHP 1 690 11.0
CHP 1 691 11.0
CHP 1 692 11.0
CHP 1 693 11.0
CHP 1 694 11.0
CHP 1 695 11.0
CHP 1 696 11.0
CHP 1 697 11.0
CHP 1 698 11.0
CHP 1 699 11.0
CHP 1 700 11.0
CHP 1 701 11.0
CHP 1 702 11.0
CHP 1 703 11.0
CHP 1 704 11.0
CHP 1 705 11.0
CHP 1 706 11.0
CHP 1 707 11.0
CHP 1 708 11.0
CHP 1 709 11.0
CHP 1 710 11.0
CHP 1 711 11.0
CHP 1 712 11.0
CHP 1 713 11.0
CHP 1 714 11.0
CHP 1 715 11.0
CHP 1 716 11.0
CHP 1 717 11.0
CHP 1 718 11.0
CHP 1 719 11.0
CHP 1 720 11.0
CHP 1 721 11.0
CHP 1 722 11.0
CHP 1 723 11.0
CHP 1 724 11.0
CHP 1 725 11.0
CHP 1 726 11.0
CHP 1 727 11.0
CHP 1 728 11.0
CHP 1 729 11.0
CHP 1 730 11.0
CHP 1 731 11.0
CHP 1 732 11.0
CHP 1 733 11.0
CHP 1 734 11.0
CHP 1 735 11.0
CHP 1 736 11.0
CHP 1 737 11.0
CHP 1 738 11.0
CHP 1 739 11.0
CHP 1 740 11.0
CHP 1 741 11.0
CHP 1 742 11.0
CHP 1 743 11.0
CHP 1 744 11.0
CHP 1 745 11.0
CHP 1 746 11.0
CHP 1 747 11.0
CHP 1 748 11.0
CHP 1 749 11.0
CHP 1 750 11.0
CHP 1 751 11.0
CHP 1 752 11.0
CHP 1 753 11.0
CHP 1 754 11.0
CHP 1 755 11.0
CHP 1 756 11.0
CHP 1 757 11.0
CHP 1 758 11.0
CHP 1 759 11.0
CHP 1 760 11.0
CHP 1 761 11.0
CHP 1 762 11.0
CHP 1 763 11.0
CHP 1 764 11.0
CHP 1 765 11.0
CHP 1 766 11.0
CHP 1 767 11.0
CHP 1 768 11.0
CHP 1 769 11.0
CHP 1 770 11.0
CHP 1 771 11.0
CHP 1 772 11.0
CHP 1 773 11.0
CHP 1 774 11.0
CHP 1 775 11.0
CHP 1 776 11.0
CHP 1 777 11.0
CHP 1 778 11.0
CHP 1 779 11.0
CHP 1 780 11.0
CHP 1 781 11.0
CHP 1 782 11.0
CHP 1 783 11.0
CHP 1 784 11.0
CHP 1 785 11.0
CHP 1 786 11.0
CHP 1 787 11.0
CHP 1 788 11.0
CHP 1 789 11.0
CHP 1 790 11.0
CHP 1 791 11.0
CHP 1 792 11.0
CHP 1 793 11.0
CHP 1 794 11.0
CHP 1 795 11.0
CHP 1 796 11.0
CHP 1 797 11.0
CHP 1 798 11.0
CHP 1 799 11.0
CHP 1 800 11.0
CHP 1 801 11.0
CHP 1 802 11.0
CHP 1 803 11.0
CHP 1 804 11.0
CHP 1 805 11.0
CHP 1 806 11.0
CHP 1 807 11.0
CHP 1 808 11.0
CHP 1 809 11.0
CHP 1 810 11.0
CHP 1 811 11.0
CHP 1 812 11.0
CHP 1 813 11.0
CHP 1 814 11.0
CHP 1 815 11.0
CHP 1 816 11.0
CHP 1 817 11.0
CHP 1 818 11.0
CHP 1 819 11.0
CHP 1 820 11.0
CHP 1 821 11.0
CHP 1 822 11.0
CHP 1 823 11.0
CHP 1 824 11.0
CHP 1 825 11.0
CHP 1 826 11.0
CHP 1 827 11.0
CHP 1 828 11.0
CHP 1 829 11.0
CHP 1 830 11.0
CHP 1 831 11.0
CHP 1 832 11.0
CHP 1 833 11.0
CHP 1 834 11.0
CHP 1 835 11.0
CHP 1 836 11.0
CHP 1 837 11.0
CHP 1 838 11.0
CHP 1 839 11.0
CHP 1 840 11.0
CHP 1 841 11.0
CHP 1 842 11.0
CHP 1 843 11.0
CHP 1 844 11.0
CHP 1 845 11.0
CHP 1 846 11.0
CHP 1 847 11.0
CHP 1 848 11.0
CHP 1 849 11.0
CHP 1 850 11.0
CHP 1 851 11.0
CHP 1 852 11.0
CHP 1 853 11.0
CHP 1 854 11.0
CHP 1 855 11.0
CHP 1 856 11.0
CHP 1 857 11.0
CHP 1 858 11.0
CHP 1 859 11.0
CHP 1 860 11.0
CHP 1 861 11.0
CHP 1 862 11.0
CHP 1 863 11.0
CHP 1 864 11.0
CHP 1 865 11.0
CHP 1 866 11.0
CHP 1 867 11.0
CHP 1 868 11.0
CHP 1 869 11.0
CHP 1 870 11.0
CHP 1 871 11.0
CHP 1 872 11.0
CHP 1 873 11.0
CHP 1 874 11.0
CHP 1 875 11.0
CHP 1 876 11.0
CHP 1 877 11.0
CHP 1 878 11.0
CHP 1 879 11.0
CHP 1 880 11.0
CHP 1 881 11.0
CHP 1 882 11.0
CHP 1 883 11.0
CHP 1 884 11.0
CHP 1 885 11.0
CHP 1 886 11.0
CHP 1 887 11.0
CHP 1 888 11.0
CHP 1 889 11.0
CHP 1 890 11.0
CHP 1 891 11.0
CHP 1 892 11.0
CHP 1 893 11.0
CHP 1 894 11.0
CHP 1 895 11.0
CHP 1 896 11.0
CHP 1 897 11.0
CHP 1 898 11.0
CHP 1 899 11.0
CHP 1 900 11.0
CHP 1 901 11.0
CHP 1 902 11.0
CHP 1 903 11.0
CHP 1 904 11.0
CHP 1 905 11.0
CHP 1 906 11.0
CHP 1 907 11.0
CHP 1 908 11.0
CHP 1 909 11.0
CHP 1 910 11.0
CHP 1 911 11.0
CHP 1 912 11.0
CHP 1 913 11.0
CHP 1 914 11.0
CHP 1 915 11.0
CHP 1 916 11.0
CHP 1 917 11.0
CHP 1 918 11.0
CHP 1 919 11.0
CHP 1 920 11.0
CHP 1 921 11.0
CHP 1 922 11.0
CHP 1 923 11.0
CHP 1 924 11.0
CHP 1 925 11.0
CHP 1 926 11.0
CHP 1 927 11.0
CHP 1 928 11.0
CHP 1 929 11.0
CHP 1 930 11.0
CHP 1 931 11.0
CHP 1 932 11.0
CHP 1 933 11.0
CHP 1 934 11.0
CHP 1 935 11.0
CHP 1 936 11.0
CHP 1 937 11.0
CHP 1 938 11.0
CHP 1 939 11.0
CHP 1 940 11.0
CHP 1 941 11.0
CHP 1 942 11.0
CHP 1 943 11.0
CHP 1 944 11.0
CHP 1 945 11.0
CHP 1 946 11.0
CHP 1 947 11.0
CHP 1 948 11.0
CHP 1 949 11.0
CHP 1 950 11.0
CHP 1 951 11.0
CHP 1 952 11.0
CHP 1 953 11.0
CHP 1 954 11.0
CHP 1 955 11.0
CHP 1 956 11.0
CHP 1 957 11.0
CHP 1 958 11.0
CHP 1 959 11.0
CHP 1 960 11.0
CHP 1 961 11.0
CHP 1 962 11.0
CHP 1 963 11.0
CHP 1 964 11.0
CHP 1 965 11.0
CHP 1 966 11.0
CHP 1 967 11.0
CHP 1 968 11.0
CHP 1 969 11.0
CHP 1 970 11.0
CHP 1 971 11.0
CHP 1 972 11.0
CHP 1 973 11.0
CHP 1 974 11.0
CHP 1 975 11.0
CHP 1 976 11.0
CHP 1 977 11.0
CHP 1 978 11.0
CHP 1 979 11.0
CHP 1 980 11.0
CHP 1 981 11.0
CHP 1 982 11.0
CHP 1 983 11.0
CHP 1 984 11.0
CHP 1 985 11.0
CHP 1 986 11.0
CHP 1 987 11.0
CHP 1 988 11.0
CHP 1 989 11.0
CHP 1 990 11.0
CHP 1 991 11.0
CHP 1 992 11.0
CHP 1 993 11.0
CHP 1 994 11.0
CHP 1 995 11.0
CHP 1 996 11.0
CHP 1 997 11.0
CHP 1 998 11.0
CHP 1 999 11.0
CHP 1 1000 11.0
CHP 1 1001 11.0
CHP 1 1002 11.0
CHP 1 1003 11.0
CHP 1 1004 11.0
CHP 1 1005 11.0
CHP 1 1006 11.0
CHP 1 1007 11.0
CHP 1 1008 11.0
CHP 1 1009 11.0
CHP 1 1010 11.0
CHP 1 1011 11.0
CHP 1 1012 11.0
CHP 1 1013 11.0
CHP 1 1014 11.0
CHP 1 1015 11.0
CHP 1 1016 11.0
CHP 1 1017 11.0
CHP 1 1018 11.0
CHP 1 1019 11.0
CHP 1 1020 11.0
CHP 1 1021 11.0
CHP 1 1022 11.0
CHP 1 1023 11.0
CHP 1 1024 11.0
CHP 1 1025 11.0
CHP 1 1026 11.0
CHP 1 1027 11.0
CHP 1 1028 11.0
CHP 1 1029 11.0
CHP 1 1030 11.0
CHP 1 1031 11.0
CHP 1 1032 11.0
CHP 1 1033 11.0
CHP 1 1034 11.0
CHP 1 1035 11.0
CHP 1 1036 11.0
CHP 1 1037 11.0
CHP 1 1038 11.0
CHP 1 1039 11.0
CHP 1 1040 11.0
CHP 1 1041 11.0
CHP 1 1042 11.0
CHP 1 1043 11.0
CHP 1 1044 11.0
CHP 1 1045 11.0
CHP 1 1046 11.0
CHP 1 1047 11.0
CHP 1 1048 11.0
CHP 1 1049 11.0
CHP 1 1050 11.0
CHP 1 1051 11.0
CHP 1 1052 11.0
CHP 1 1053 11.0
CHP 1 1054 11.0
CHP 1 1055 11.0
CHP 1 1056 11.0
CHP 1 1057 11.0
CHP 1 1058 11.0
CHP 1 1059 11.0
CHP 1 1060 11.0
CHP 1 1061 11.0
CHP 1 1062 11.0
CHP 1 1063 11.0
CHP 1 1064 11.0
CHP 1 1065 11.0
CHP 1 1066 11.0
CHP 1 1067 11.0
CHP 1 1068 11.0
CHP 1 1069 11.0
CHP 1 1070 11.0
CHP 1 1071 11.0
CHP 1 1072 11.0
CHP 1 1073 11.0
CHP 1 1074 11.0
CHP 1 1075 11.0
CHP 1 1076 11.0
CHP 1 1077 11.0
CHP 1 1078 11.0
CHP 1 1079 11.0
CHP 1 1080 11.0
CHP 1 1081 11.0
CHP 1 1082 11.0
CHP 1 1083 11.0
CHP 1 1084 11.0
CHP 1 1085 11.0
CHP 1 1086 11.0
CHP 1 1087 11.0
CHP 1 1088 11.0
CHP 1 1089 11.0
CHP 1 1090 11.0
CHP 1 1091 11.0
CHP 1 1092 11.0
CHP 1 1093 11.0
CHP 1 1094 11.0
CHP 1 1095 11.0
CHP 1 1096 11.0
CHP 1 1097 11.0
CHP 1 1098 11.0
CHP 1 1099 11.0
CHP 1 1100 11.0
CHP 1 1101 11.0
CHP 1 1102 11.0
CHP 1 1103 11.0
CHP 1 1104 11.0
CHP 1 1105 11.0
CHP 1 1106 11.0
CHP 1 1107 11.0
CHP 1 1108 11.0
CHP 1 1109 11.0
CHP 1 1110 11.0
CHP 1 1111 11.0
CHP 1 1112 11.0
CHP 1 1113 11.0
CHP 1 1114 11.0
CHP 1 1115 11.0
CHP 1 1116 11.0
CHP 1 1117 11.0
CHP 1 1118 11.0
CHP 1 1119 11.0
CHP 1 1120 11.0
CHP 1 1121 11.0
CHP 1 1122 11.0
CHP 1 1123 11.0
CHP 1 1124 11.0
CHP 1 1125 11.0
CHP 1 1126 11.0
CHP 1 1127 11.0
CHP 1 1128 11.0
CHP 1 1129 11.0
CHP 1 1130 11.0
CHP 1 1131 11.0
CHP 1 1132 11.0
CHP 1 1133 11.0
CHP 1 1134 11.0
CHP 1 1135 11.0
CHP 1 1136 11.0
CHP 1 1137 11.0
CHP 1 1138 11.0
CHP 1 1139 11.0
CHP 1 1140 11.0
CHP 1 1141 11.0
CHP 1 1142 11.0
CHP 1 1143 11.0
CHP 1 1144 11.0
CHP 1 1145 11.0
CHP 1 1146 11.0
CHP 1 1147 11.0
CHP 1 1148 11.0
CHP 1 1149 11.0
CHP 1 1150 11.0
CHP 1 1151 11.0
CHP 1 1152 11.0
